1. 성장 시스템 방향성,,,,,,,,,,,,,,,,,,
," 《Hero Influence》의 전투는 게임의 핵심인 4X (탐험, 확장, 성장, 섬멸) 진행 중 발생하는 턴제 전투가 전체 게임 흐름을 크게 끊지 않도록 하는 것을 목표로 한다.

 이에 따라 성장 시스템은 다음 4가지 방향성을 가진다.
  1) 초반에는 1~2회, 중후반에는 2~3회의 인카운터 전투를 통해 유닛이 랭크업하도록 설계
  2) 전투 템포를 유지하기 위해 체력 및 방어력의 성장률은 완만하게 설계
  3) 공격력이 체력보다 상대적으로 빠르게 성장하도록 설계
  4) 클래스 간 역할 구분은 유지하되, 모든 클래스가 전열과 후열 모두에서 정밀의 코어용 가능하도록 설계
   - 동일 랭크 적 기준, 최소 1회의 공격을 생존할 수 있도록 체력 및 체력 성장률 설계
   - 동일 랭크 적 기준, 1회 공격 시 최소 피해량이 대상 최대 체력의 10~25% 이상이 되도록 설계
  3) 유닛의 기본 전투 성능은 랭크에 따라 결정되지만, 실제 전투 결과에 미치는 영향은 I.P가 더 크게 작용하도록 설계",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2. 랭크업 스테이터스 증가 규칙,,,,,,,,,,,,,,,,,,
,"  1) 랭크업을 해도 수치가 변하지 않는 스테이터스는 다음과 같다.
  - 치명타율
  - 반격률
  - 피해 경감율
  - 스피드
  (상기 스테이터스는 랭크업으로는 증가하지 않으며, 장비 착용, 진형 효과, 스킬 효과 등으로만 변동)

 2) 랭크업에 따라 수치가 증가하는 스테이터스는 다음과 같다.
  - 유닛 최대 체력
  - 유닛 공격력
  - 유닛 방어력

 3) 유닛 랭크업 시, 유닛의 현재 체력은 최대 체력으로 회복된다.
 4) 지정된 랭크 달성 직후, 최대 I.P가 증가한다. (오르는 랭크 시점 및 양은 전투 경험치 테이블 참조)
 5) 유닛 시민 현재 호감도는  증가하지 않으며, 기존 수치를 그대로 유지한다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3. 유닛 랭크업 추가 스테이터스,,,,,,,,,,,,,,,,,,
," 1) 유닛 스테이터스는 랭크가 오를 때마다 랭크업 기본 보정치 + 클래스별 추가 보정치가 추가된다.

 2) 랭크업 추가 보정치는 클래스마다 오르는 스테이터스 수치가 다르나 올라가는 총합은 동일하다.

 3) 예시
  - F랭크 가디언, 최대 체력 10
  - E랭크 가디언, 최대 체력 = 10 + 1 (기본 보정치) + 3 (추가 보정치) = 14
  - D랭크 가디언, 최대 체력 = 14 + 1 + 3 = 18",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,기본 보정치,유닛 최대 체력,유닛 공격력,유닛 방어력,,,,,,,,,,,,,,
,,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"클래스별
추가 보정치",유닛 최대 체력,유닛 공격력,유닛 방어력,,,,,,,,,,,,,,
,가디언,2,1,0,,,,,,,,,,,,,,
,블래스터,0,2,0,,,,,,,,,,,,,,
,스트라이커,1,1,0,,,,,,,,,,,,,,
,서포터,1,0,1,,,,,,,,,,,,,,
,파이터,0,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4. 경험치 획득 규칙,,,,,,,,,,,,,,,,,,
,"1) 경험치는 인카운트 전투 승리 시 획득한다. (전투 패배 시에는 획득하지 않는다.)
2) 얻는 총 경험치는 쓰러트린 모든 적의 경험치 합산이다.
3) 전투 승리 시 생존 상태의 모든 유닛은 
 총 경험치 ÷ 파티 내 전체 유닛 수(4)
만큼의 경험치를 균등하게 나눠 얻는다. 
4) 딱 나눠 떨어지지 않을 경우, 남은 경험치는 누적 경험치가 가장 낮은 임의의 유닛에게 돌아간다.
5) 리타이어한 유닛 몫의 경험치는 상실된다. (의도: 특정 유닛을 의도적으로 리타이어 상태로 유지하여 경험치를 집중시키는 플레이를 방지하기 위함)

예시)
게임 시작 시 4인 파티 중 생존 유닛 3명
총 경험치: 30

A (생존): 7
B (생존): 7
C (생존): 9 (7 + 잔여 경함치 2)
D (리타이어): 0 (경험치 7 상실)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5. 전투 경험치 테이블,,,,,,,,,,,,,,,,,,
,,,,,4,,,"기본 
최대 I.P",100,,,,,,,,,
,레벨,랭크 표시,"유닛당 랭크업
필요 경험치","동일 랭크 빌런 1마리 당
평균 경험치","적군 {}인 파티 
기준 총 경험치","4인 파티
아군 유닛당
획득 경험치","랭크업 시
필요한 전투 수",스킬,최대 I.P 추가 ,"신규 스킬 획득까지
필요한 전투 수",무기 획득 추천 타이밍,,,,,,,
,1,N,0,10,40,10,0 ,기본 스킬,,,기본 무기,,,,,,,빌런 수 최소값(2) → 랭크업당 2~6번 전투
,2,M,10,,,,1 ,,10,,,,,,,,,
,3,L,20,,,,1 ,신규 스킬,,2,,,,,,,,
,4,K,40,20,80,20,1 ,,10,,신규 무기,,,,,,,
,5,J,60,,,,1 ,신규 스킬,,2,,,,,,,,
,6,I,80,,,,1 ,,10,,,,,,,,,
,7,H,110,30,120,30,1 ,신규 스킬,,2,,,,,,,,
,8,G,140,,,,1 ,,10,,신규 무기,,,,,,,
,9,F,170,,,,1 ,,10,,,,,,,,,
,10,E,250,40,160,40,2 ,신규 스킬,,3,,,,,,,,
,11,D,330,,,,2 ,,10,,신규 무기,,,,,,,
,12,C,410,,,,2 ,신규 스킬,,2,,,,,,,,빌런 수 평균값(4) → 랭크업당 1~3번 전투
,13,B,560,50,200,50,3 ,,20,,,,,,,,,
,14,A,710,,,,3 ,,20,,신규 무기,,,,,,,
,15,S,860,,,,3 ,신규 스킬,,3,,,,,,,,
,총 전투 수,,,,,,23 ,,200,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,빌런 수 최대값(5) → 랭크업당 1~2번 전투,
